Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
reposapie-del-tras-cbf-150-unicorn-150-crown,"REPOSAPIE DEL/TRAS  CBF-150 -UNICORN 150-  ""CROWN""",,200012630,,Producto,"andina, casa200, productos no fabricados, Reposapie, repuestos",True,Title,Default Title,,,,,,,,3041.0,0.0,shopify,721.0,deny,manual,11400.0,,True,True,200012630,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012630.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
valvula-admision-escape-libero-110-crown-2,"VALVULA ADMISION/ESCAPE  LIBERO-110 ""CROWN""",,200013207,,Producto,"andina, casa200, productos no fabricados, repuestos, Válvula",True,Title,Default Title,,,,,,,,3034.0,0.0,shopify,224.0,deny,manual,9200.0,,True,True,200013207,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200013207.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
sensor-velocidad-con-cable-pulsar-180-v-2009-crown,"SENSOR VELOCIDAD CON CABLE PULSAR 180 V 2009 ""CROWN""",,200012790,,Producto,"andina, casa200, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,3018.0,0.0,shopify,70.0,deny,manual,14300.0,,True,True,200012790,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012790.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
reposapie-pasajero-der-izq-eco-100-cd-dawn-crown,"REPOSAPIE PASAJERO DER/IZQ
 ECO-100 (CD DAWN) ""CROWN""",,200012625,Uncategorized,Producto,"andina, casa200, productos no fabricados, Reposapie, repuestos",True,Title,Default Title,,,,,,,,2996.0,0.0,shopify,61.0,deny,manual,4980.0,,True,True,200012625,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012625.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
pedal-arranque-tvs-100-sport-crown-1,"PEDAL ARRANQUE TVS-100 SPORT ""CROWN""",,200012370,,Producto,"andina, casa200, Pedal, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2986.0,0.0,shopify,25.0,deny,manual,16200.0,,True,True,200012370,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012370.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
pedal-arranque-discover-100s-crown,"PEDAL ARRANQUE DISCOVER-100S ""CROWN""",,200012364,,Producto,"andina, casa200, Disco, Pedal, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2985.0,0.0,shopify,117.0,deny,manual,23950.0,,True,True,200012364,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012364.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
pedal-arranque-splendor-crown,"PEDAL ARRANQUE SPLENDOR ""CROWN""",,200012360,,Producto,"andina, casa200, Pedal, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2983.0,0.0,shopify,434.0,deny,manual,17600.0,,True,True,200012360,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012360.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
pata-lateral-x-4-pcs-eco-deluxe-crown,"PATA LATERAL X 4 PCS ECO DELUXE  ""CROWN""",,200012330,,Producto,"andina, casa200, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2979.0,0.0,shopify,165.0,deny,manual,9400.0,,True,True,200012330,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012330.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
manigueta-derecha-unicorn-150-crown,"MANIGUETA DERECHA  UNICORN 150 ""CROWN""",,200012222,,Producto,"andina, casa200, Manigueta, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2970.0,0.0,shopify,234.0,deny,manual,4250.0,,True,True,200012222,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012222.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
manigueta-derecha-cd-100-crown-1,"MANIGUETA DERECHA CD-100 ""CROWN""",,200012220,,Producto,"andina, casa200, Manigueta, productos no fabricados, repuestos",True,Title,Default Title,,,,,,,,2968.0,0.0,shopify,0.0,deny,manual,3480.0,,True,True,200012220,https://raw.githubusercontent.com/JuanSebastianMontoyaFranco/Imagenes/main/Originales2/200012220.jpg,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
