Handle,Codigo,Title,Grupo,Body (HTML),Vendor,Product Category,Type,Tags,Tags Formula,Tags v2,Formula,Tags v3,Formula,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
aislador-carburador-cd-100-crown-1,200010040,"AISLADOR CARBURADOR CD-100 ""CROWN""",1,,200010040,,Producto,"AISLADOR CARBURADOR, ECO DELUXE, SPLENDOR-NXG, ECO 100, AKT-110, JIALING MIX, C-90","AISLADOR CARBURADOR, ECO DELUXE, SPLENDOR-NXG, ECO 100, AKT-110, JIALING MIX, C-90",AISLADOR CARBURADOR,AISLADOR CARBURADOR,"ECO DELUXE, SPLENDOR-NXG, ECO 100, AKT-110, JIALING MIX, C-90",ECO DELUXE / SPLENDOR-NXG / ECO 100 / AKT-110 / JIALING MIX / C-90,TRUE,Title,Default Title,,,,,,,,200010040,0.0,shopify,663,deny,manual,1200.00,,TRUE,TRUE,200010040,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/200010040.jpg?v=1753256415,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-c-90-crown,800600171,"ANILLOS 0.25 ""CROWN"" C-90",2,,800600171,,Producto,"ANILLOS, C-90","ANILLOS, C-90",ANILLOS,ANILLOS,C-90,C-90,TRUE,Title,Default Title,,,,,,,,800600171,0.0,shopify,28,deny,manual,9680.00,,TRUE,TRUE,800600171,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600171.jpg?v=1753256724,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-cb1-cb-125f-crown,800600146,"ANILLOS 0.25 ""CROWN"" CB-1/ CB-125F",2,,800600146,,Producto,"ANILLOS, CB-1,  CB-125F","ANILLOS, CB-1,  CB-125F",ANILLOS,ANILLOS,"CB-1,  CB-125F",CB-1/ CB-125F,TRUE,Title,Default Title,,,,,,,,800600146,0.0,shopify,165,deny,manual,10100.00,,TRUE,TRUE,800600146,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600146.jpg?v=1753256710,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-discover-100m-crown,800600181,"ANILLOS 0.25 ""CROWN"" DISCOVER-100M/DISCOVER-110",2,,800600181,,Producto,"ANILLOS, DISCOVER-100M, DISCOVER-110","ANILLOS, DISCOVER-100M, DISCOVER-110",ANILLOS,ANILLOS,"DISCOVER-100M, DISCOVER-110",DISCOVER-100M/DISCOVER-110,TRUE,Title,Default Title,,,,,,,,800600181,0.0,shopify,190,deny,manual,9750.00,,TRUE,TRUE,800600181,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600181.jpg?v=1753256971,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-25-gixxer-150-crown,800600466,"ANILLOS 0.25 ""CROWN"" GIXXER-150",2,,800600466,,Producto,"ANILLOS, GIXXER-150","ANILLOS, GIXXER-150",ANILLOS,ANILLOS,GIXXER-150,GIXXER-150,TRUE,Title,Default Title,,,,,,,,800600466,0.0,shopify,90,deny,manual,10900.00,,TRUE,TRUE,800600466,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600466.jpg?v=1753256704,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-50-bws-125-crown,800600388,"ANILLOS 0.50  BWS-125 ""CROWN""",2,,800600388,,Producto,"ANILLOS, BWS-125","ANILLOS, BWS-125",ANILLOS,ANILLOS,BWS-125,BWS-125,TRUE,Title,Default Title,,,,,,,,800600388,0.0,shopify,55,deny,manual,9140.00,,TRUE,TRUE,800600388,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600388.jpg?v=1753257494,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-50-fd-125-best-125,800600462,"ANILLOS 0.50 ""CROWN"" BEST-125/VIVAX-115/VIVA-115",2,,800600462,,Producto,"ANILLOS, BEST-125, VIVAX-115, VIVA-115","ANILLOS, BEST-125, VIVAX-115, VIVA-115",ANILLOS,ANILLOS,"BEST-125, VIVAX-115, VIVA-115",BEST-125/VIVAX-115/VIVA-115,TRUE,Title,Default Title,,,,,,,,800600462,0.0,shopify,50,deny,manual,10850.00,,TRUE,TRUE,800600462,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600462.jpg?v=1753256975,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-50-c-90-crown,800600172,"ANILLOS 0.50 ""CROWN"" C-90",2,,800600172,,Producto,"ANILLOS, C-90","ANILLOS, C-90",ANILLOS,ANILLOS,C-90,C-90,TRUE,Title,Default Title,,,,,,,,800600172,0.0,shopify,60,deny,manual,9680.00,,TRUE,TRUE,800600172,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600172.jpg?v=1753256722,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-50-cb-1-cbf-125f-crown,800600147,"ANILLOS 0.50 ""CROWN"" CB-1/ CB-125F",2,,800600147,,Producto,"ANILLOS, CB-1,  CB-125F","ANILLOS, CB-1,  CB-125F",ANILLOS,ANILLOS,"CB-1,  CB-125F",CB-1/ CB-125F,TRUE,Title,Default Title,,,,,,,,800600147,0.0,shopify,67,deny,manual,10100.00,,TRUE,TRUE,800600147,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600147.jpg?v=1753256708,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-50-wave-110-crown,800600162,"ANILLOS 0.50 ""CROWN"" WAVE-110/S",2,,800600162,,Producto,"ANILLOS, WAVE-110, S","ANILLOS, WAVE-110, S",ANILLOS,ANILLOS,"WAVE-110, S",WAVE-110 / S,TRUE,Title,Default Title,,,,,,,,800600162,0.0,shopify,76,deny,manual,10100.00,,TRUE,TRUE,800600162,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600162.jpg?v=1753256959,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
