Handle,Title,Body (HTML),Vendor,ORDEN,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
valvula-admision-escape-cbf-150-original-hero-1,"91.0.700013126 VALVULA ADMISION ESCAPE CBF-150 ""ORIGINAL HERO""",,700013126,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,3684.0,0.0,shopify,254.0,deny,manual,43000.0,,True,True,700013126,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-boxer-ct100-tec-genuine-bajaj-1,"91.0.700013122 VALVULA ADMISION ESCAPE BOXER-CT100 TEC ""GENUINE BAJAJ""",,700013122,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,3683.0,0.0,shopify,0.0,deny,manual,22500.0,,True,True,700013122,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-xpulse-200-original-hero,"91.0.700013121 VALVULA ADMISION ESCAPE XPULSE-200 ""ORIGINAL HERO""",,700013121,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,3682.0,0.0,shopify,0.0,deny,manual,68000.0,,True,True,700013121,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-eco-deluxe-original-hero,"91.0.700013120 VALVULA ADMISION ESCAPE ECO DELUXE ""ORIGINAL HERO""",,700013120,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,3681.0,0.0,shopify,0.0,deny,manual,27000.0,,True,True,700013120,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-escape-gixxer-250-original-suzuki,"nan.700013051 VALVULA ESCAPE GIXXER-250 ""ORIGINAL SUZUKI""",,700013051,,,Producto,"Andina, Productos, Repuestos",False,Title,Default Title,,,,,,,,3680.0,0.0,shopify,0.0,deny,manual,19000.0,,True,True,700013051,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-gixxer-250-original-suzuki,"91.0.700013050 VALVULA ADMISION GIXXER-250 ""ORIGINAL SUZUKI""",,700013050,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,3679.0,0.0,shopify,0.0,deny,manual,12000.0,,True,True,700013050,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-gixxer-150-original-suzuki,"91.0.700013048 VALVULA ADMISION GIXXER-150 ""ORIGINAL SUZUKI""",,700013048,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,3678.0,0.0,shopify,50.0,deny,manual,13300.0,,True,True,700013048,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-escape-discover-125st-genuine-bajaj-1,"nan.700013047 VALVULA ESCAPE DISCOVER-125ST ""GENUINE BAJAJ""",,700013047,,,Producto,"Andina, Disco, Productos, Repuestos",False,Title,Default Title,,,,,,,,3677.0,0.0,shopify,1.0,deny,manual,11500.0,,True,True,700013047,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-discover-125st-genuine-bajaj-1,"91.0.700013046 VALVULA ADMISION DISCOVER-125ST ""GENUINE BAJAJ""",,700013046,,,Producto,"Andina, Disco, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,3676.0,0.0,shopify,0.0,deny,manual,11500.0,,True,True,700013046,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-escape-pulsar-200ns-genuine-bajaj-1,"nan.700013045 VALVULA ESCAPE PULSAR-200NS ""GENUINE BAJAJ""",,700013045,,,Producto,"Andina, Productos, Repuestos",False,Title,Default Title,,,,,,,,3675.0,0.0,shopify,0.0,deny,manual,24200.0,,True,True,700013045,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
